Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе 
"Гибкая разработка программ на Java и C++. Принципы, паттерны и методики",Мартин Роберт С.,Диалектика,6072,11040,45,На складе
Цифровая обработка сигналов на языке Python,Дауни Аллен Б.,ДМК-Пресс,569,1035,45,На складе
"Непрерывное развертывание ПО. Автоматизация процессов сборки, тестирования и внедрения новых версий","Хамбл Джез, Фарли Дейвид",Вильямс,4641,8438,45,На складе
Программирование на C++ в примерах и задачах,Васильев Алексей Николаевич,Эксмо-Пресс:Российский компьютерный бестселлер,760,1041,27,На складе
Cassandra. Полное руководство,"Карпентер Джефф, Хьюитт Эбен",ДМК-Пресс,1348,2450,45,На складе
Изучаем Angular 2,Дилеман Пабло,ДМК-Пресс,993,1806,45,На складе
Разработка обслуживаемых программ на языке C#,Виссер Джуст,ДМК-Пресс,639,1161,45,Ограничено
10 практических устройств на AVR-микроконтроллерах. Книга 1 (+CD),Кравченко Алексей Владимирович,Корона-Принт,358,650,45,На складе
XBRL для чайников,"Хоффман Чарльз, Уотсон Лив","Диалектика:Для ""чайников""",2187,3976,45,Ограничено
Тестирование программного обеспечения. Учебное пособие для СПО,Игнатьев Александр Владимирович,Лань:Компьютеры и программное обеспечение,356,648,45,На складе
Проектирование человеко-машинного взаимодействия. Учебник для вузов,Игнатьев Александр Владимирович,Лань:Компьютеры и программное обеспечение,394,716,45,На складе
Программные коллекции данных. Проектирование и реализация. Учебник,Романенко Татьяна Александровна,Лань:Компьютеры и программное обеспечение,1410,2563,45,Ограничено
Программные коллекции данных. Проектирование и реализация. Учебное пособие для СПО,Романенко Татьяна Александровна,Лань:Компьютеры и программное обеспечение,1410,2563,45,На складе
C# 9 и .NET 5. Разработка и оптимизация,Прайс Марк Дж.,Питер:Для профессионалов,3249,4166,22,На складе
Clojure на производстве,Гришаев Иван,ДМК-Пресс,1419,2580,45,На складе
Алгоритмы ГИС,Сяо Нинчуань,ДМК-Пресс,1419,2580,45,На складе
Изучаем SHINY,Уикем Хэдли,ДМК-Пресс,1845,3354,45,На складе
Анализ поведенческих данных на R и PYTHON,Бюиссон Флоран,ДМК-Пресс,1845,3354,45,На складе
Разработка беспилотных транспортных средств,Лю Шаошань и др.,ДМК-Пресс,1560,2837,45,На складе
Сети 6G. Путь от 5G к 6G глазами разработчиков,Тонг Вэнь и др.,ДМК-Пресс,2837,5159,45,На складе
Корпоративные информационные системы на базе решения Oracle E-Business Suite. Калькуляция затрат,"Васильева Елена Викторовна, Громова Алла Александровна",Прометей,573,1042,45,На складе
Проектирование цифровых образовательных ресурсов,Коннова Лариса Петровна и др.,Прометей,1069,1944,45,На складе
Классические задачи Computer Science на языке Java,Копец Дэвид,Питер:Библиотека программиста,1416,1816,22,На складе
Информационное моделирование: методолгия использования цифровых моделей. Часть 1,Бачурина Светлана Самуиловна,ДМК-Пресс,709,1289,45,На складе
Head First. Паттерны проектирования,Фримен Эрик и др.,Питер:Head First (O'Reilly),1898,2433,22,На складе
Автоматизация рутинных задач с помощью Python,Свейгарт Эл,Диалектика,3094,5625,45,На складе
Алгоритмы. Теория и практическое применение,Стивенс Род,Эксмо:Мировой компьютерный бестселлер,1167,1599,27,На складе
Апокалипсис криптографии. Подготовка криптографии к квантовым вычислениям,Граймс Роджер А.,ДМК-Пресс,1277,2321,45,На складе
"{Вы пока еще не знаете JS} Познакомьтесь, JavaScript",Симпсон Кайл,Питер:Библиотека программиста,1028,1318,22,На складе
{Вы пока еще не знаете JS}. Область видимости и замыкания,Симпсон Кайл,Питер:Библиотека программиста,1093,1401,22,На складе
Паттерны программирования игр,Нистрем Роберт,Бомбора:Мировой компьютерный бестселлер,1499,2053,27,На складе
Эффективный C. Профессиональное программирование,Сикорд Роберт С.,Питер:Библиотека программиста,1703,2183,22,На складе
React. Современные шаблоны для разработки приложений,"Бэнкс Алекс, Порселло Ева",Питер:Бестселлеры O`Reilly,1782,2284,22,На складе
JavaScript. Обработка событий на примерах. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1537,2794,45,На складе
ASP.NET CORE в действии,Лок Эндрю,ДМК-Пресс,2909,5289,45,На складе
Анализируем данные в Microsoft Power BI. Подготовка к экзамену DA-100,Маслюк Даниил,ДМК-Пресс,1419,2580,45,На складе
Программирование на PHP в примерах и задачах,Васильев Алексей,Эксмо-Пресс:Российский компьютерный бестселлер,965,1322,27,На складе
Статистический анализ экспериментальных данных в пакетах MathCAD и Excel,Воскобойников Юрий Евгеньевич,Лань:Компьютеры и программное обеспечение,1275,2318,45,На складе
Инженерные расчеты. Книга-билингва. Учебное пособие,Очков Валерий Федорович и др.,Лань:Компьютеры и программное обеспечение,2305,4191,45,На складе
Системы искусственного интеллекта. Моделирование нейронных сетей в системе MATLAB. Лабораторный пр.,"Романов Петр Сергеевич, Романова Ирина Петровна",Лань:Компьютеры и программное обеспечение,811,1475,45,На складе
JavaScript. Обработка событий на примерах. Учебное пособие для СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1390,2528,45,Ограничено
Компьютерное моделирование автоматизации технологических процессов и производств. Практикум. СПО,Алексеев Владимир Анатольевич,Лань:Компьютеры и программное обеспечение,1275,2318,45,Ограничено
Ghidra. Полное руководство,"Игл Крис, Нэнс Кара",ДМК-Пресс,2697,4903,45,На складе
Изучаем WinUI 3.0,Эшкрафт Элвин,ДМК-Пресс,1419,2580,45,На складе
JavaScript для профессиональных веб-разработчиков,Фрисби Мэтт,Питер:Для профессионалов,3183,4081,22,На складе
Осваиваем Ethereum. Создание смарт-контрактов и децентрализованных приложений,"Антонопулос Андреас М., Вуд Гэвин",Бомбора:Мировой компьютерный бестселлер,2078,2846,27,На складе
SQL за 10 минут,Форта Бен,Вильямс,1547,2813,45,На складе
Облачные архитектуры. Разработка устойчивых и экономичных облачных приложений,Лащевски Том и др.,Питер:Библиотека программиста,1431,1835,22,На складе
Делай как в Google. Разработка программного обеспечения,Винтерс Титус и др.,Питер:Бестселлеры O`Reilly,2600,3333,22,На складе
Программируем на C# 8.0. Разработка приложений,Гриффитс Иэн,Питер:Бестселлеры O`Reilly,3757,4817,22,На складе
C# 9.0. Справочник. Полное описание языка,Албахари Джозеф,Диалектика,5037,9159,45,На складе
Изучаем квантовые вычисления на Python и Q#,"Кайзер Сара, Гранад Кристофер",ДМК-Пресс,1986,3611,45,На складе
"Системы автоматического управления: теория, применение, моделирование в MATLAB. Учебное пособие",Ощепков Александр Юрьевич,Лань:Учебники для вузов. Специальная литература,1475,2681,45,На складе
Коды с суммированием для систем технического диагностирования. В 2-х томах,Сапожников Валерий Владимирович и др.,Наука,1116,2029,45,На складе
Основы тестирования программного обеспечения. Учебное пособие для СПО,Старолетов Сергей Михайлович,Лань:Компьютеры и программное обеспечение,1342,2440,45,На складе
"Гид по Computer Science, расширенное издание",Спрингер Вильям,Питер:Библиотека программиста,1087,1393,22,На складе
Как работают компьютерные сети и интернет,Северанс Чарльз Р.,ДМК-Пресс,921,1674,45,На складе
Разработка конвейеров машинного обучения. Автоматизация жизненных циклов модели с помощью TensorFlow,"Ханнес Хапке, Нельсон Кэтрин",ДМК-Пресс,1490,2709,45,На складе
"SQL для хранения, обработки и анализа данных","Туманов Владимир Евгеньевич, Гайфуллин Булат Накиевич",Солон-пресс:Библиотека студента,565,1028,45,Ограничено
"Безопасность веб-приложений. Разведка, защита, нападение",Хоффман Эндрю,Питер:Бестселлеры O`Reilly,2311,2963,22,На складе
Распределенные данные. Алгоритмы работы современных систем хранения информации,Петров Алекс,Питер:Бестселлеры O`Reilly,2503,3209,22,На складе
Безопасно by Design,Берг Джонсон Дэн и др.,Питер:Библиотека программиста,2029,2601,22,На складе
"Разработка на JavaScript. Построение кроссплатформенных приложений с помощью GraphQL, React",Скотт Адам Д.,Питер:Бестселлеры O`Reilly,2202,2823,22,На складе
Пакет прикладных программ. Учебное пособие,Шитов Виктор Николаевич,ИНФРА-М:Среднее профессиональное образование,1782,3240,45,На складе
Программирование в САПР. Пространственное моделирование колонного аппарата в среде Autodesk Inventor,Лянг Виктор Федорович,ИНФРА-М:Высшее образование. Бакалавриат,1412,2567,45,На складе
Искусство тестирования на проникновение в сеть,Дэвис Ройс,ДМК-Пресс,1419,2580,45,На складе
Построение пользовательских интерфейсов,Малышев Кирилл Викторович,ДМК-Пресс,1277,2321,45,На складе
Data Science для карьериста,"Нолис Жаклин, Робинсон Эмили",Питер:Библиотека программиста,2253,2889,22,На складе
"Экстремальный Cи. Параллелизм, ООП и продвинутые возможности",Амини Камран,Питер:Для профессионалов,2847,3650,22,На складе
Разработка геоприложений на языке Python,Вестра Эрик,ДМК-Пресс,1560,2837,45,На складе
Инженерия требований,Халл Элизабет и др.,ДМК-Пресс,993,1806,45,На складе
Программирование PIC - микроконтроллеров на PicBasic,Хелибайк Чак,Додека XXI век:Программируемые системы,639,1161,45,На складе
Введение в современные САПР. Курс лекций,Малюх Владимир Николаевич,ДМК-Пресс:САПР от А до Я,501,911,45,На складе
Функциональное программирование на F#,Сошников Дмитрий Валерьевич,ДМК-Пресс,501,911,45,На складе
Скользкие места С++. Как избежать проблем  при проектировании и компиляции ваших программ,Дьюхэрст Стефан К.,ДМК-Пресс:Профессиональная серия от Addison-Wesley,639,1161,45,На складе
Программируем микрокомпьютер NXT в LabVIEW,"Белиовская Лидия Георгиевна, Белиовский Александр Евгеньевич",ДМК-Пресс:Все о LabVIEW,501,911,45,На складе
MATLAB. Полный самоучитель,Дьяконов Владимир Павлович,ДМК-Пресс,1419,2580,45,На складе
Параллельное и конкурентное программирование на Haskell,Марлоу Саймон,ДМК-Пресс:Функциональное программирование,1135,2064,45,На складе
Практическое использование Common Lisp,Сайбель Питер,ДМК-Пресс:Функциональное программирование,1277,2321,45,На складе
Сбор данных в Интернете на языке R,Храмов Дмитрий Александрович,ДМК-Пресс,921,1674,45,На складе
Unity 5.x. Программирование искусственного интеллекта в играх,Паласиос Хорхе,ДМК-Пресс,993,1806,45,На складе
Программирование микроконтроллеров. Стратегия и тактика,Матюшин Андрей Олегович,ДМК-Пресс,1135,2064,45,На складе
Ruby on Rails для начинающих. Изучаем разработку веб-приложений на основе Rails,Хартл Майкл,ДМК-Пресс,1560,2837,45,На складе
Программирование и отладка С/С++ приложений для микроконтроллеров ARM,Магда Юрий Степанович,ДМК-Пресс,639,1161,45,На складе
Эффективное использование С++. 55 верных способов улучшить структуру и код ваших программ,Мэйерс Скотт,ДМК-Пресс:Профессиональная серия от Addison-Wesley,709,1289,45,На складе
"Assembler. Для DOS, Windows и Unix",Зубков Сергей Владимирович,ДМК-Пресс:Для программистов,1064,1934,45,На складе
Лямбда-выражения в Java 8. Функциональное программирование - в массы,Уорбэртон Ричард,ДМК-Пресс:Функциональное программирование,569,1035,45,На складе
Системная инженерия. Принципы и практика,Косяков Александр и др.,ДМК-Пресс,1419,2580,45,На складе
Оптимизация приложений на платформе .Net,Голдштейн Саша и др.,ДМК-Пресс,1277,2321,45,На складе
Интерфейс. Основы проектирования взаимодействия,Купер Алан и др.,Питер:Для профессионалов,2051,2630,22,На складе
Аналоговые интерфейсы микроконтроллеров,Болл Стюарт Р.,Додека XXI век:Программируемые системы,851,1547,45,На складе
Практическое использование Vim. Редактируйте текст со скоростью мысли,Нейл Дрю,ДМК-Пресс,993,1806,45,На складе
Основы проектирования в Autodesk Inventor 2016,Зиновьев Дмитрий Валериевич,ДМК-Пресс,610,1109,45,На складе
Bootstrap в примерах,Морето Сильвио,ДМК-Пресс,993,1806,45,На складе
Изучай Haskell во имя добра!,Липовача Миран,ДМК-Пресс,1064,1934,45,На складе
Matlab & Simulink. Проектирование мехатронных систем на ПК. Учебное пособие для ВУЗов + CD,Герман-Галкин Сергей Германович,Корона-Принт:Учебное пособие,405,737,45,На складе
10 практических устройств на AVR-микроконтроллерах. Книга 2 +CD,Кравченко Алексей Владимирович,Корона-Принт,358,650,45,На складе
Вычислительная геометрия. Алгоритмы и приложения,Де Берг Марк и др.,ДМК-Пресс,1702,3095,45,На складе
"Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5",Никсон Робин,Питер:Бестселлеры O`Reilly,1400,1795,22,Ограничено
Разработка веб-приложений в ReactJS,"Хортон Адам, Вайс Райан",ДМК-Пресс,993,1806,45,На складе
"Программирование микроконтроллеров для начинающих. Визуальное проектирование, язык С, ассемблер(+CD)",Иванов Всеволод Борисович,Корона-Принт,460,837,45,Ограничено
Введение в статистическое обучение с примерами на языке R,Джеймс Гарет и др.,ДМК-Пресс,2128,3869,45,На складе
Современное программирование с нуля!,Потопахин Виталий Валерьевич,ДМК-Пресс:Учебное пособие,501,911,45,На складе
Программирование на языке Lua,Иерузалимски Роберту,ДМК-Пресс,921,1674,45,На складе
Android NDK. Руководство для начинающих,Ретабоуил Сильвен,ДМК-Пресс,999,1816,45,На складе
Скрапинг веб-сайтов с помощью Python. Сбор данных из современного интернета,Митчелл Райан,ДМК-Пресс,921,1674,45,На складе
PIC-микроконтроллеры: архитектура и программирование,Предко Майкл,ДМК-Пресс: ,851,1547,45,На складе
Моделирование антенных устройств в Matlab с использованием пакета расширения Antenna Toolbox,Типикин А. А.,Солон-пресс,340,619,45,На складе
Управление электронными устройствами на С++. Разработка практических приложений,"Катупития Янта, Бентли Ким",ДМК-Пресс,993,1806,45,На складе
C# 6.0. Справочник. Полное описание языка,"Албахари Джозеф, Албахари Бен",Вильямс,3612,6567,45,Ограничено
Swift. Карманный справочник. Программирование в среде iOS и ОS X,Грей Энтони,Вильямс,574,1044,45,Ограничено
LabVIEW: стиль программирования,Блюм Питер,ДМК-Пресс:LabVIEW,639,1161,45,На складе
Искусство автономного тестирования с примерами на С#,Ошероув Рой,ДМК-Пресс,1135,2064,45,На складе
Графовые базы данных. Новые возможности для работы,Робинсон Ян и др.,ДМК-Пресс,921,1674,45,На складе
Руководство по микропроцессорному обеспечению,,ДМК-Пресс,993,1806,45,Ограничено
Чисто функциональные структуры данных,Окасаки Крис,ДМК-Пресс,851,1547,45,На складе
Программирование компьютерного зрения на языке Python,Солем Ян Эрик,ДМК-Пресс,993,1806,45,На складе
"UML Проектирование систем реального времени, распределенных и параллельных приложений",Гома Хассан,ДМК-Пресс,1773,3224,45,На складе
"Периферийные устройства: интерфейсы, схемотехника, программирование",Авдеев Вадим Александрович,ДМК-Пресс:Все о радиоэлектронике,1277,2321,45,Ограничено
R в действии. Анализ и визуализация данных на языке R,Кабаков Роберт И.,ДМК-Пресс,1135,2064,45,На складе
Анализ больших наборов данных,Лесковец Юре и др.,ДМК-Пресс,1702,3095,45,На складе
Современный PHP. Новые возможности и передовой опыт,Локхарт Джош,ДМК-Пресс,921,1674,45,На складе
MATLAB. Теория и практика,Гилат Амос,ДМК-Пресс,1135,2064,45,На складе
Параллельное программирование на С++ в действии. Практика разработки многопоточных программ,Уильямс Энтони,ДМК-Пресс,1419,2580,45,На складе
Наиболее эффективное использование С++. 35 новых рекомендаций  по улучшению ваших программ,Мейерс Скотт,ДМК-Пресс:Для программистов,709,1289,45,На складе
Введение в надежное и безопасное распределенное программирование,Качина Кристиан и др.,ДМК-Пресс,1419,2580,45,Ограничено
C# 6.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Вильямс,574,1044,45,На складе
Разработка веб-приложений с использованием Flask на языке Python,Гринберг Мигель,ДМК-Пресс,921,1674,45,На складе
Python. К вершинам мастерства,Рамальо Лучано,ДМК-Пресс,1539,2799,45,На складе
Введение в ECMAScript 6,Прасти Нараян,ДМК-Пресс,709,1289,45,Ограничено
Программирование для Windows на С/С++. В 2-х томах. Том 2,Мартынов Николай Николаевич,Бином,220,400,45,На складе
Программирование мобильных устройств на платформе .Net Compact Framework,Самре Иво,Вильямс,734,1334,45,Ограничено
"Разработка приложений для iPhone, iPad и iPod touch с использованием iOS SDK",Марк Дэйв и др.,Вильямс,1426,2592,45,На складе
Silverlight 5 с примерами на C# для профессионалов,Мак-Дональд Мэтью,Вильямс,1712,3112,45,На складе
Java EE 7. Основы,Гупта Арун,Вильямс,856,1556,45,На складе
Java SE 8. Вводный курс,Хорстманн Кей С.,Вильямс,856,1556,45,Ограничено
Joomla! Для профессионалов,Рамел Дэн,Вильямс,1426,2592,45,На складе
Microsoft Exchange Server 2013. Полное руководство,Моримото Рэнд и др.,Вильямс,3144,5717,45,На складе
WinRT. программирование на C# для профессионалов,"Рихтер Джеффри, ван де Боспурт Мартен",Вильямс,1426,2592,45,На складе
"Программирование для iOS 7. Основы Objective-C, Xcode и Cocoa",Нойбург Мэтт,Вильямс,1258,2288,45,Ограничено
Руководство для программиста на Java. 75 рекомендаций по написанию надежных и защищенных программ,Лонг Фрэд и др.,Вильямс,825,1500,45,Ограничено
ASP.NET MVC 5 с примерами на C# 5.0 для профессионалов,Фримен Адам,Вильямс,3144,5717,45,Ограничено
Drupal 7. Руководство пользователя,Колисниченко Денис Николаевич,Диалектика,296,538,45,На складе
Joomla 2.5. Руководство пользователя,Колисниченко Денис Николаевич,Диалектика,480,873,45,Ограничено
C# 5.0 и платформа .NET 4.5 для профессионалов,Глинн Джей и др.,Диалектика,2187,3976,45,Ограничено
Python на практике,Саммерфилд Марк,ДМК-Пресс:Профессиональная серия программиста,851,1547,45,На складе
Поисковая адаптация. Теория и практика,Курейчик Виктор Михайлович и др.,Физматлит:Информационные и компьютерные технологии,507,922,45,Ограничено
Методы оптимальных решений. В 2 томах. Том 1. Общие положения. Математическое программирование,"Соколов Александр Валерьевич, Токарев Владислав Васильевич",Физматлит,1242,2259,45,Ограничено
Методы оптимальных решений. В 2 томах. Том 2. Многокритериальность. Динамика. Неопределенность,Токарев Владислав Васильевич,Физматлит,1180,2145,45,Ограничено
Компьютерное моделирование логических процессов. Архитектура и язык решателя задач,Подколзин Александр Сергеевич,Физматлит,1311,2383,45,Ограничено
Дизайн и эволюция языка С++,Страуструп Бьерн,ДМК-Пресс:Для программистов,779,1417,45,На складе
Обработка естественного языка на Java,Риз Ричард,ДМК-Пресс,993,1806,45,На складе
Алгоритмы и структуры данных. Новая версия для Оберона,Вирт Никлаус,ДМК-Пресс:Классика программирования,639,1161,45,На складе
Искусство поиска решения в нестандартной задаче,Потопахин Виталий Валерьевич,ДМК-Пресс:Прикладное программирование,431,783,45,На складе
Программирование на Python для начинающих,МакГрат Майк,Эксмо-Пресс:Программирование для начинающих,673,922,27,На складе
Применение Web-стандартов. CSS и Ajax для больших сайтов,Шмитт Кристофер и др.,Корона-Принт,223,405,45,На складе
Автоматизированные информационно-управляющие системы с применением SCADA-системы TRACE MODE,Пьявченко Тамила Алексеевна,Лань:Учебники для вузов. Специальная литература,1390,2528,45,На складе
ATDD. Разработка программного обеспечения через приемочные тесты. Практический подход,Гэртнер Маркус,ДМК-Пресс,869,1580,45,На складе
Читаем Тьюринга. Путешествие по исторической статье Тьюринга о вычислимости и машинах Тьюринга,Петцольд Чарльз,ДМК-Пресс:Классика программирования,1135,2064,45,На складе
Шейдеры и эффекты в Unity. Книга рецептов,Ламмерс Кенни,ДМК-Пресс,779,1417,45,На складе
JavaScript и jQuery. Исчерпывающее руководство,Макфарланд Дэвид,Эксмо:Мировой компьютерный бестселлер,1772,2427,27,На складе
MUMPS СУБД. Практика применения и опыт программирования,Каратаев Евгений Анатольевич,Солон-пресс:Библиотека профессионала,1101,2002,45,Ограничено
Полезное программирование. Уникальное руководство,Комлев Николай Юрьевич,Солон-пресс:Библиотека профессионала,744,1353,45,На складе
Visual FoxPro 9.0. Учебный курс,,Корона-Принт,455,827,45,На складе
MATLAB и SIMULINK для радиоинженеров,Дьяконов Владимир Павлович,ДМК-Пресс:Математика и Matlab,1845,3354,45,На складе
Справочник по языку Haskell,Душкин Роман Викторович,ДМК-Пресс: ,921,1674,45,Ограничено
Программирование на ассемблере на платформе x86-64,Аблязов Руслан Зуфярович,ДМК-Пресс,639,1161,45,На складе
Семантический веб,Антониоу Григорис и др.,ДМК-Пресс,851,1547,45,Ограничено
Функциональное программирование на языке Haskell,Душкин Роман Викторович,ДМК-Пресс,993,1806,45,Ограничено
Программирование на языке Go. Разработка приложений XXI века,Саммерфильд Марк,ДМК-Пресс:Профессиональное программирование,1419,2580,45,На складе
Разработка программного обеспечения: управление изменениями,"Белладжио Дэвид, Миллиган Том",ДМК-Пресс: ,619,1126,45,Ограничено
От математики к обобщенному программированию,"Степанов Александр, Роуз Дэниэл Э.",ДМК-Пресс,851,1547,45,На складе
Изучаем программирование на JavaScript,"Фримен Эрик, Робсон Элизабет",Питер:Head First (O'Reilly),2377,3048,22,На складе
Путь Ruby,"Фултон Хэл, Арко Андрэ",ДМК-Пресс:Профессиональная серия программиста,1419,2580,45,На складе
Программирование на Objective-C,Кочан Стивен,Эком:Библиотека разработчика,1420,2582,45,Ограничено
Изучаем Spark,Карау Холден и др.,ДМК-Пресс,921,1674,45,На складе
Статистический анализ и визуализация данных с помощью R,"Мастицкий Сергей Эдуардович, Шитиков Владимир",ДМК-Пресс,1135,2064,45,На складе
LLVM. Инфраструктура для разработки компиляторов,"Кардос Лопес Бруно, Аулер Рафаэль",ДМК-Пресс,921,1674,45,На складе
OpenGL ES 3.0. Руководство разработчика,"Гинсбург Дэн, Пурномо Будирижанто",ДМК-Пресс,1277,2321,45,Ограничено
Elastix - общайтесь свободно!,Юров Владислав,Эком,861,1565,45,Ограничено
Постреляционная СУБД Cache 5. Объектно-ориентированная разработка приложений (+CD),Кирстен Вольфганг и др.,Бином,460,836,45,Ограничено
Квантовые вычисления и функциональное программирование,Душкин Роман Викторович,ДМК-Пресс,501,911,45,На складе
Создание облачных и мобильных приложений на языке F#,Мол Дэниел,ДМК-Пресс:Функциональное программирование,569,1035,45,На складе
"Проектирование на ПЛИС. Архитектура, средства и методы. Курс молодого бойца",Максфилд Клайв,ДМК-Пресс:Программируемые системы,851,1547,45,На складе
Программирование микроконтроллеров ATMEL на языке C (+CD),Прокопенко Вадим Сергеевич,Корона-Принт,747,1358,45,На складе
Семь моделей конкуренции и параллелизма за семь недель,Батчер Пол,ДМК-Пресс,993,1806,45,Ограничено
Адаптивные и инвариантные алгоритмы обнаружения объектов на изображениях и их моделирование в Matla,Волков Владимир Юрьевич,Лань,870,1582,45,На складе
Дневник охотника за ошибками. Путешествие через джунгли проблем безопасности программного обеспеч.,Клейн Тобиас,ДМК-Пресс,1135,2064,45,На складе
Введение в UML от создателей языка,Рамбо Джеймс и др.,ДМК-Пресс:Классика программирования,851,1547,45,На складе
Алгоритмы. Построение и анализ,Кормен Томас и др.,Диалектика,9109,16562,45,На складе
Изучай Erlang во имя добра!,Хеберт Фред,ДМК-Пресс,1277,2321,45,На складе
Грокаем алгоритмы. Иллюстрированное пособие для программистов и любопытствующих,Бхаргава Адитья,Питер:Библиотека программиста,945,1211,22,На складе
Программируй на Haskell,Курт Уилл,ДМК-Пресс:Функциональное программирование,1702,3095,45,На складе
"Конфигурирование и моделирование в системе ""1С: Предприятие"". Учебник",Дадян Эдуард Григорьевич,ИНФРА-М:Высшее образование. Магистратура,2267,4122,45,На складе
Алгоритмы на C++,Седжвик Роберт,Вильямс,6072,11040,45,На складе
Python. Справочник. Полное описание языка,Мартелли Алекс и др.,Диалектика,3612,6567,45,На складе
Теоретический минимум по Big Data. Всё что нужно знать о больших данных,"Ын Анналин, Су Кеннет",Питер:Библиотека программиста,781,1001,22,На складе
Основы программирования на языке Python,Златопольский Дмитрий Михайлович,ДМК-Пресс,569,1035,45,На складе
Методы научных исследований в программной инженерии,Пантелеев Евгений Рафаилович,Лань:Учебники для вузов. Специальная литература,680,1236,45,На складе
Структуры данных в C#. Линейные и нелинейные динамические структуры. Учебное пособие,Симонова Елена Витальевна,Лань:Учебники для вузов. Специальная литература,887,1612,45,Ограничено
Программируем на Python,Доусон Майкл,Питер,1258,1613,22,На складе
HTML5. Карманный справочник,Роббинс Дженнифер,Вильямс,1141,2075,45,На складе
Искусство программирования. Том 4А. Комбинаторные алгоритмы. Часть 1,Кнут Дональд Эрвин,Вильямс,6072,11040,45,На складе
Практика программирования,"Керниган Брайан, Пайк Роб",Вильямс,2372,4313,45,На складе
Введение в системы баз данных,Дейт К. Дж.,Диалектика,6072,11040,45,На складе
Unity в действии. Мультиплатформенная разработка на C#,Хокинг Джозеф,Питер:Для профессионалов,1338,1716,22,На складе
Разработка чат-ботов и разговорных интерфейсов,Джанарсанам Срини,ДМК-Пресс,1135,2064,45,На складе
Решение задач на современном C++,Бансила Мариус,ДМК-Пресс,1135,2064,45,На складе
Философия Java,Эккель Брюс,Питер:Классика computer science,2531,3245,22,На складе
Python для сложных задач. Наука о данных и машинное обучение,Плас Дж. Вандер,Питер:Бестселлеры O`Reilly,1820,2333,22,На складе
Разработка программных приложений в среде BlackBox. Учебное пособие,Болотнов Анатолий Миронович,Лань:Учебники для вузов. Специальная литература,881,1601,45,На складе
Технологии интеллектуального анализа данных. Учебное пособие,"Макшанов Андрей Владимирович, Журавлев Антон Евгеньевич",Лань:Учебники для вузов. Специальная литература,1160,2109,45,На складе
Осваиваем C++17 STL. Используйте компоненты стандартной библиотеки в C++17 STL в полной мере,О`Двайр Артур,ДМК-Пресс,1419,2580,45,На складе
Язык программирования C,"Керниган Брайан, Ритчи Деннис",Вильямс,1856,3375,45,На складе
Построение систем машинного обучения на языке Python,"Коэльо Луис Педро, Ричарт Вилли",ДМК-Пресс,993,1806,45,На складе
Head First. Паттерны проектирования. Обновленное юбилейное издание,Фримен Эрик и др.,Питер:Head First (O'Reilly),1799,2306,22,На складе
C# для профессионалов. Тонкости программирования,Скит Джон,Вильямс,4641,8438,45,На складе
Python. Карманный справочник,Лутц Марк,Диалектика,1238,2250,45,На складе
Искусство программирования. Том 1. Основные алгоритмы,Кнут Дональд Эрвин,Вильямс,5553,10097,45,На складе
"Шаблоны интеграции корпоративных приложений. Проектирование, создание и развертывание решений","Хоп Грегор, Вульф Бобби",Диалектика,5037,9159,45,На складе
Язык программирования C. Лекции и упражнения,Прата Стивен,Диалектика,5037,9159,45,На складе
C# 4.0. Полное руководство,Шилдт Герберт,Диалектика,3919,7125,45,На складе
Реализация методов предметно-ориентированного проектирования,Вернон Вон,Диалектика,4641,8438,45,На складе
Веб-программирование для чайников,Никхил Абрахам,"Диалектика:Для ""чайников""",1856,3375,45,Ограничено
Язык программирования Go,"Керниган Брайан, Донован Алан А. А.",Диалектика,2372,4313,45,На складе
