Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Python и DevOps. Ключ к автоматизации Linux,Гифт Ной и др.,Питер:Бестселлеры O`Reilly,2348,3010,22,На складе
Прикладное программирование на С/С++: с нуля,Иванов Всеволод Борисович,Солон-пресс:Программирование,710,1290,45,На складе
Введение в логическое программирование,"Дженесерет Майкл, Чаудри Винай К.",ДМК-Пресс,1277,2321,45,На складе
Параллельное программирование на C# и .NET Core,Шакти Танвар,ДМК-Пресс,1490,2709,45,На складе
Разработка игр на языке JavaScript. Учебное пособие,Беляев Сергей Алексеевич,Лань:Компьютеры и программное обеспечение,388,706,45,Ограничено
Параллельные и высокопроизводительные вычисления,"Роби Роберт, Замора Джулиана",ДМК-Пресс,2837,5159,45,На складе
Исследование операций в экономике. Практикум. Учебное пособие для вузов,Слабнов Виктор Дмитриевич,Лань:Компьютеры и программное обеспечение,2305,4191,45,На складе
"Паттерны разработки на Python. TDD, DDD и событийно-ориентированная архитектура","Персиваль Гарри, Грегори Боб",Питер:Для профессионалов,1949,2499,22,На складе
WebAssembly в действии,Галлан Жерар,Питер:Библиотека программиста,2588,3318,22,На складе
Тестирование программного обеспечения,Игнатьев Александр Владимирович,Лань:Компьютеры и программное обеспечение,356,648,45,Ограничено
Разработка моделей предметной области автоматизации. Учебник для вузов,Котлинский Сергей Владимирович,Лань:Компьютеры и программное обеспечение,2691,4892,45,На складе
Разработка моделей предметной области автоматизации. Учебник для СПО,Котлинский Сергей Владимирович,Лань:Компьютеры и программное обеспечение,2434,4425,45,На складе
Технологии программирования на Java 2. Распределенные приложения,Дейтел Харви и др.,Бином,574,1044,45,На складе
Silverlight 4. Создание насыщенных Web-приложений,Байдачный Сергей Сергеевич,Солон-пресс:Библиотека профессионала,383,697,45,На складе
EJB 3 в действии,Панда Дебу и др.,ДМК-Пресс:Программирование в действии,1419,2580,45,На складе
Жемчужины проектирования алгоритмов. Функциональный подход. С примерами на языке Haskell,Бёрд Ричард,ДМК-Пресс,1064,1934,45,На складе
Асинхронное программирование в C# 5.0,Дэвис Алекс,ДМК-Пресс,363,660,45,На складе
"Программирование в Delphi для Windows: Версии 2006, 2007, Turbo Delphi (+СD)",Архангельский Алексей Яковлевич,Бином: ,1151,2092,45,На складе
Практика программирования на языке Паскаль. Задачи и решения,Медведик Владимир Иванович,ДМК-Пресс,993,1806,45,На складе
Методы обработки и распознавания изображений лиц в задачах биометрии,Кухарев Георгий Александрович и др.,Политехника,667,1212,45,На складе
Эффективные технологии создания информационных систем,"Мещеряков Сергей Владимирович, Иванов Владимир Михайлович",Политехника,372,677,45,На складе
Введение в теорию языков программирования,"Довек Жиль, Леви Жан-Жак",ДМК-Пресс,431,783,45,На складе
Spring в действии,Уоллс Крейг,ДМК-Пресс:Программирование в действии,1773,3224,45,На складе
Программирование на языке OCaml,Мински Ярон и др.,ДМК-Пресс:Функциональное программирование,1419,2580,45,На складе
CUDA Fortran для инженеров и научных работников. Рекомендации по эффективному программированию,"Рутш Грегори, Фатика Массимилиано",ДМК-Пресс,851,1547,45,Ограничено
Платформа Windows Azure,"Редкар Теджасви, Тони Гвидичи",ДМК-Пресс,1135,2064,45,Ограничено
"За пределами ""Linux с нуля"". Версия 7.4. Том 2",,ДМК-Пресс,1135,2064,45,На складе
Расширение библиотеки jQuery,Вуд Кит,ДМК-Пресс,740,1345,45,Ограничено
.NET Сетевое программирование,Кумар Винод и др.,Лори,864,1570,45,Ограничено
Java. Эффективное программирование,Блох Джошуа,Лори,914,1661,45,На складе
Разработка веб-приложений с использованием AngularJS,"Козловский Павел, Бэкон Дарвин Питер",ДМК-Пресс,921,1674,45,На складе
Zend Framework 2.0 разработка веб-приложений,Шасанкар Кришна,Питер:Библиотека программиста,612,785,22,На складе
Основы теории вейвлетов. Вейвлеты в MATLAB,Смоленцев Николай Константинович,ДМК-Пресс:Математика и Matlab,962,1749,45,Ограничено
LabVIEW. Практический курс для инженеров и разработчиков,Магда Юрий Степанович,ДМК-Пресс:Все о LabVIEW,431,783,45,Ограничено
Программирование для школьников и студентов. Учебное пособие,"Колесов Вадим Владимирович, Романов Максим Николаевич",Феникс:Абитуриент,259,Нет старого прайса,Нет скидки,На складе
"Принципы построения, применения и проектирования компьютерной платформы U-SYS","Росляков Александр Владимирович, Крылов Павел Сергеевич",Солон-пресс:Библиотека студента,250,455,45,На складе
Разработка приложений Java EE 6 в NetBeans 7,Хеффельфингер Дэвид,ДМК-Пресс,851,1547,45,На складе
Курс практического программирования в Delphi. Объектно – ориентированное программирование. Практикум,Санников Е. В.,Солон-пресс:Элективный курс. Профильное обучение,596,1083,45,На складе
C++ AMP. Построение массивно параллельных программ с помощью Microsoft Visual C++,"Грегори Кейт, Миллер Эйд",ДМК-Пресс,993,1806,45,Ограничено
Изучаем программирование для iPAD. Практич. руководство по созданию приложений для iPAD с ОС iOS 5,"Тэрнер Кирби, Харрингтон Том",ДМК-Пресс,888,1615,45,Ограничено
Программирование на алгоритмическом языке КуМир,"Анеликова Людмила Александровна, Гусева Ольга Борисовна",Солон-пресс:Элективный курс. Профильное обучение,226,411,45,На складе
Создание web-приложений в Silverlight,Буньон Лоран,ДМК-Пресс,616,1120,45,На складе
С++ для начинающих,Шилдт Герберт,Эком:Шаг за шагом,766,1392,45,На складе
Профессиональное программирование приложений для iPhone и iPad,Баклин Джин,Эксмо:Мировой компьютерный бестселлер,1010,1384,27,На складе
Silverlight. Практическое руководство,Браун Пит,Питер,1282,1644,22,На складе
PHP. Создание динамических страниц,Пауэрс Дэвид,Рид Групп:Веб-технологии,1135,1555,27,На складе
Изучаем Java,"Сьерра Кэтти, Бейтс Берт",Эксмо:Мировой компьютерный бестселлер,1590,2178,27,На складе
10 практических устройств на AVR-микроконтроллерах. Книга 3 (+DVD),Кравченко Алексей Владимирович,Корона-Принт,574,1044,45,Ограничено
1С: Предприятие 8.2. Коротко о главном. Новые возможности версии 8.2 (+CD),Радченко Максим Григорьевич,1С:1С: Предприятие 8.2,230,419,45,На складе
"""1С.Предприятие 8"". Конвертация данных. Обмен данными между прикладными решениями (+CD)","Бояркин В.Э., Филатов А. И.",1С:1С: Предприятие 8,224,407,45,На складе
"Как настраивать ""1С: Предприятие 8.2"" при внедрении +СD",Ажеронок Валентин Александрович,1С:1С: Предприятие 8.2,224,407,45,На складе
Macromedia Authorware 6.0. Разработка мультимедийных учебных курсов,Гультяев Алексей Константинович,Корона-Принт: ,269,489,45,На складе
Руководство разработчика по Microsoft Enterprise Library,Хоумер Алекс и др.,Эком,502,913,45,На складе
Микрокомпьютерные системы управления. Первое знакомство,Суэмацу Есикадзу,Додека XXI век: ,569,1035,45,Ограничено
Silverlight 2. Технология создания интернет-приложений,Буньон Лоран,ДМК-Пресс: ,495,900,45,Ограничено
Создание сайтов на основе WordPress. Учебное пособие. СПО,Сергеев Алексей Николаевич,Лань:Компьютеры и программное обеспечение,666,1210,45,Ограничено
"Интеграция управления программой и системной инженерии. Методы, инструменты и организационные систем",Мицуфуджи Акио и др.,ДМК-Пресс,2128,3869,45,На складе
Современный JavaScript для нетерпеливых,Хорстман Кэй С.,ДМК-Пресс,1277,2321,45,На складе
Инфокоммуникационные системы. Учебник,"Журавлев Антон Евгеньевич, Макшанов Андрей Владимирович",Лань:Компьютеры и программное обеспечение,2238,4069,45,На складе
Инфокоммуникационные системы. Учебник,Журавлев Антон Евгеньевич и др.,Лань:Компьютеры и программное обеспечение,2171,3947,45,На складе
Программирование на Rust. Официальный гайд,"Клабник Стив, Николс Кэрол",Питер:Для профессионалов,3132,4015,22,На складе
Проектирование информационных систем. Учебное пособие,Коваленко Владимир Васильевич,Форум:Высшее образование: Бакалавриат,1882,3422,45,На складе
Профессиональный TypeScript. Разработка масштабируемых JavaScript-приложений,Черный Борис,Питер:Бестселлеры O`Reilly,1558,1998,22,На складе
"Подробное руководство по DAX: бизнес-аналитика с Microsoft Power Bl, SQL Server Analysis Services","Феррари Альберто, Руссо Марко",ДМК-Пресс,2909,5289,45,На складе
Хаос-инжиниринг,"Розенталь Кейси, Джонс Нора",ДМК-Пресс,1419,2580,45,На складе
Цифровая обработка сигналов на системном уровне с использованием LabVIEW,"Кехтарнаваз Насер, Ким Намджин",ДМК-Пресс,1277,2321,45,Ограничено
Основы программирования. Учебник с практикумом,Макарова Наталья Владимировна и др.,Кнорус:Среднее профессиональное образование,1297,2359,45,Ограничено
"Дискретная оптимизация. Модели, методы, алгоритмы решения прикладных задач",Струченков Валерий Иванович,Солон-пресс:Библиотека профессионала,526,956,45,На складе
Спортивное программирование,"Халим Стивен, Халим Феникс",ДМК-Пресс,1986,3611,45,На складе
Python и наука о данных для чайников,"Мюллер Джон Пол, Массарон Лука",Диалектика,2372,4313,45,На складе
Криптография - наука о тайнописи. Учебное пособие,Фомичев Владимир Михайлович,Прометей,366,665,45,На складе
Искусство тестирования программ,Сандлер Кори и др.,Диалектика,3094,5625,45,На складе
Введение в гибридные технологии разработки мобильных приложений. Учебное пособие,"Васильев Николай Павлович, Заяц Анатолий Моисеевич",Лань:Учебники для вузов. Специальная литература,1546,2810,45,Ограничено
Прикладное программирование. Учебное пособие,Никифоров Сергей Николаевич,Лань:Среднее профессиональное образование,571,1038,45,Ограничено
Python для программирования криптовалют,Сонг Джимми,Диалектика,3919,7125,45,На складе
Алгоритмы оптимизации,"Кохендерфер Майкл, Уилер Тим",Вильямс,4641,8438,45,Ограничено
"Мифический человеко-месяц, или Как создаются программные системы",Брукс Фредерик,Питер:Библиотека программиста,1567,2009,22,На складе
"Разработка приложений на С++ с использованием Boost. Рецепты, упрощающие разработку вашего приложени",Полухин Антон,ДМК-Пресс,1419,2580,45,На складе
Введение в язык Pascal. Учебное пособие,Абрамов Владимир Геннадьевич и др.,Кнорус:Среднее профессиональное образование,1081,1965,45,На складе
Ловушка для багов. Полевое руководство по веб-хакингу,Яворски Питер,Питер:Библиотека программиста,1558,1998,22,На складе
Программирование квантовых компьютеров. Базовые алгоритмы и примеры кода,Химено-Сеговиа Мерседес и др.,Питер:Бестселлеры O`Reilly,1572,2016,22,На складе
Разработка и реализац.портальн.решений: Практикум,"Лукьянов Павел Борисович, Маркова Светлана Владимировна",Прометей,554,1008,45,Ограничено
Транспортная логистика (линейное программирование). Учебное пособие,Пашков Николай Николаевич,Прометей,634,1152,45,На складе
Генетические алгоритмы на Python,Вирсански Эйял,ДМК-Пресс,1419,2580,45,На складе
C#. Основы программирования. Учебное пособие,"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",Лань:Учебники для вузов. Специальная литература,1806,3283,45,На складе
Алгоритмы и программы. Язык С++. Учебное пособие,"Конова Елена Александровна, Поллак Галина Андреевна",Лань:Учебники для вузов. Специальная литература,1078,1960,45,На складе
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие,Залогова Любовь Алексеевна,Лань:Учебники для вузов. Специальная литература,695,1264,45,На складе
Обработка естественного языка в действии,Хобсон Лейн и др.,Питер:Для профессионалов,2895,3712,22,На складе
"Golang для профи. Работа с сетью, многопоточность, структуры данных и машинное обучение с Go",Цукалос Михалис,Питер:Для профессионалов,4058,5203,22,На складе
Программируем с PyTorch. Создание приложений глубокого обучения,Пойтнер Ян,Питер:Бестселлеры O`Reilly,1572,2016,22,Ограничено
Эффективный TypeScript. 62 способа улучшить код,Вандеркам Дэн,Питер:Бестселлеры O`Reilly,1572,2016,22,На складе
